Geração,População 10,População 20,População 50,População 100
1,14.333202887926536,10.953306976835899,7.190909606100864,6.636405346721889
2,13.780971653702323,9.837213590650666,3.9121020935514332,5.172743953545569
3,7.69668527655072,9.837213590650666,3.7412251701646313,2.5251877499984157
4,7.127327193649165,8.488403381719701,3.7412251701646313,2.3655194069973957
5,7.127327193649165,6.47388194041041,3.476473350903972,1.3487861761346387
6,7.127327193649165,4.870165535200536,3.476473350903972,1.3356887033515392
7,7.127327193649165,3.7464416177204214,3.341697949604236,1.1150799102059068
8,7.127327193649165,3.7464416177204214,3.341697949604236,0.9680650727712837
9,7.127327193649165,3.729295181727873,3.304595111350978,0.9680650727712837
10,7.127327193649165,3.729295181727873,3.304595111350978,0.9297140313096179
